applicant_id,gender,applicant_age,caste_category,annual_income,scheme_category,project_cost,requested_loan,promoter_contrib_pct,education_level,has_vocational_training,experience_years,has_clean_credit,has_valid_caste_cert,has_valid_income_cert,debt_to_income_ratio,approval_score,approved
APP_1045,Male,26,SC,148500.0,sanitation,1251000.0,1126000.0,10.0,Higher Secondary (12th),0,3,1,1,1,1.329,66.9,1
APP_1046,Male,39,ST,286000.0,education,560000.0,504000.0,10.0,Higher Secondary (12th),0,0,1,1,1,0.309,46.0,0
APP_1047,Male,29,Safai Karamchari / Dependent,69900.0,sanitation,1112000.0,1001000.0,10.0,Secondary (10th),0,0,1,1,1,2.51,67.6,1
APP_1048,Female,34,SC,483900.0,micro_finance,38400.0,36500.0,2.0,Higher Secondary (12th),0,3,1,1,1,0.028,45.5,0
APP_1049,Female,34,Safai Karamchari / Dependent,137400.0,green_energy,481000.0,457000.0,5.0,Primary (1-8),0,0,1,1,1,0.583,99.0,1
APP_1050,Female,24,ST,110900.0,education,2011000.0,1810000.0,5.0,Primary (1-8),0,4,0,1,1,2.861,5.0,0
APP_1051,Female,39,Safai Karamchari / Dependent,242000.0,term_loan,2809000.0,2528000.0,20.0,Secondary (10th),1,0,1,1,1,2.423,77.2,1
APP_1052,Female,26,SC,299200.0,sanitation,1146000.0,1089000.0,5.0,Higher Secondary (12th),1,9,1,1,1,0.638,73.4,1
APP_1053,Male,30,OBC,106000.0,micro_finance,108600.0,97700.0,5.0,Higher Secondary (12th),0,3,1,1,1,0.336,42.8,0
APP_1054,Female,36,SC,229900.0,term_loan,637000.0,573000.0,5.0,Post Graduate / Professional,1,2,1,1,1,0.578,99.0,1
APP_1055,Female,31,SC,174900.0,green_energy,610000.0,580000.0,5.0,Primary (1-8),0,7,1,1,1,0.581,97.0,1
APP_1056,Male,36,SC,195100.0,sanitation,677000.0,663000.0,2.0,Primary (1-8),0,1,1,1,1,0.596,83.9,1
APP_1057,Female,45,ST,201200.0,sanitation,915000.0,824000.0,10.0,Higher Secondary (12th),0,7,1,0,1,0.718,5.0,0
APP_1058,Female,36,SC,192500.0,term_loan,753000.0,678000.0,20.0,Secondary (10th),0,3,1,1,1,0.817,69.7,1
APP_1059,Female,36,SC,249900.0,green_energy,946000.0,899000.0,5.0,Secondary (10th),0,0,1,1,1,0.631,67.2,1
APP_1060,Female,36,Safai Karamchari / Dependent,257800.0,micro_finance,130500.0,117400.0,10.0,Primary (1-8),0,0,1,1,1,0.166,99.0,1
APP_1061,Female,35,SC,593800.0,green_energy,965000.0,917000.0,5.0,No Formal Education,0,4,1,1,0,0.271,46.9,0
APP_1062,Male,23,Safai Karamchari / Dependent,184600.0,education,1150000.0,1035000.0,5.0,Primary (1-8),0,4,1,1,1,0.983,71.3,1
APP_1063,Female,27,SC,98600.0,education,1076000.0,968000.0,5.0,Primary (1-8),0,4,1,1,1,1.721,62.3,1
APP_1064,Female,42,SC,267600.0,education,2076000.0,1868000.0,0.0,Higher Secondary (12th),0,3,1,1,1,1.224,65.1,1
APP_1065,Male,26,Safai Karamchari / Dependent,191800.0,green_energy,1402000.0,1262000.0,10.0,Graduate,1,1,1,1,1,1.153,70.7,1
APP_1066,Female,25,SC,113900.0,term_loan,3389000.0,3050000.0,5.0,Secondary (10th),1,12,1,1,1,6.212,70.9,1
APP_1067,Male,41,SC,173300.0,sanitation,968000.0,949000.0,2.0,Secondary (10th),0,3,1,1,1,0.96,53.8,1
APP_1068,Male,34,ST,249100.0,education,727000.0,654000.0,0.0,Primary (1-8),1,3,1,0,1,0.46,39.3,0
APP_1069,Female,21,SC,243100.0,term_loan,1602000.0,1442000.0,15.0,Graduate,1,4,1,1,1,1.376,74.8,1
APP_1070,Female,24,Safai Karamchari / Dependent,254700.0,green_energy,671000.0,570000.0,15.0,Higher Secondary (12th),0,9,1,1,0,0.392,63.4,1
APP_1071,Male,32,ST,186200.0,education,1186000.0,1067000.0,10.0,Primary (1-8),0,11,0,1,1,1.005,5.0,0
APP_1072,Female,26,SC,264400.0,education,2143000.0,1929000.0,10.0,Secondary (10th),1,6,1,1,1,1.279,67.4,1
APP_1073,Male,25,SC,129000.0,micro_finance,47300.0,42600.0,0.0,Secondary (10th),1,2,1,1,1,0.121,99.0,1
APP_1074,Male,35,SC,130400.0,education,987000.0,888000.0,0.0,Primary (1-8),0,2,1,1,1,1.194,56.9,1
APP_1075,Male,36,SC,279100.0,sanitation,372000.0,353000.0,5.0,Higher Secondary (12th),0,16,1,1,1,0.222,96.0,1
APP_1076,Male,34,SC,142900.0,education,1502000.0,1352000.0,10.0,Post Graduate / Professional,1,7,1,1,0,1.659,6.3,0
APP_1077,Female,41,SC,131000.0,green_energy,1094000.0,1039000.0,5.0,Post Graduate / Professional,1,4,1,1,1,1.39,80.3,1
APP_1078,Male,21,Safai Karamchari / Dependent,276700.0,micro_finance,113100.0,101800.0,2.0,Higher Secondary (12th),1,5,1,1,1,0.134,99.0,1
APP_1079,Male,36,ST,134100.0,term_loan,1847000.0,1662000.0,15.0,Higher Secondary (12th),1,8,1,1,1,2.875,8.3,0
APP_1080,Male,38,ST,180400.0,term_loan,1199000.0,1079000.0,10.0,Primary (1-8),0,5,1,0,1,1.388,19.3,0
APP_1081,Male,45,SC,241000.0,education,626000.0,563000.0,10.0,Higher Secondary (12th),0,5,0,1,1,0.41,59.9,1
APP_1082,Female,31,SC,221500.0,green_energy,1058000.0,899000.0,15.0,Secondary (10th),0,1,1,1,1,0.711,66.8,1
APP_1083,Male,35,SC,388500.0,sanitation,220000.0,209000.0,5.0,Graduate,1,0,1,1,0,0.094,42.7,0
APP_1084,Other,54,SC,189000.0,education,1021000.0,919000.0,5.0,Higher Secondary (12th),0,1,0,1,1,0.852,10.7,0
APP_1085,Male,30,SC,207800.0,term_loan,3765000.0,3388000.0,15.0,No Formal Education,1,0,1,1,1,3.782,62.4,1
APP_1086,Other,29,SC,557900.0,micro_finance,27300.0,24600.0,5.0,Primary (1-8),1,0,1,1,1,0.016,52.4,0
APP_1087,Male,48,SC,297300.0,sanitation,1595000.0,1563000.0,2.0,No Formal Education,0,0,1,1,1,0.922,50.6,1
APP_1088,Male,27,Safai Karamchari / Dependent,126500.0,education,2461000.0,2215000.0,0.0,Secondary (10th),0,0,1,1,1,3.07,59.1,1
APP_1089,Male,55,SC,101800.0,education,207000.0,186000.0,10.0,Secondary (10th),1,3,1,1,1,0.32,99.0,1
APP_1090,Female,18,SC,317300.0,sanitation,1588000.0,1429000.0,10.0,Secondary (10th),0,5,0,1,1,0.789,5.0,0
APP_1091,Female,29,SC,166500.0,green_energy,1364000.0,1228000.0,10.0,Higher Secondary (12th),1,0,1,1,1,1.293,61.7,1
APP_1092,Female,38,SC,181300.0,education,1121000.0,1009000.0,10.0,Primary (1-8),0,1,1,1,1,0.976,67.3,1
APP_1093,Female,30,SC,168800.0,green_energy,712000.0,676000.0,5.0,Secondary (10th),1,1,1,1,1,0.702,68.4,1
APP_1094,Female,49,Safai Karamchari / Dependent,83200.0,green_energy,1147000.0,1090000.0,5.0,Secondary (10th),0,3,1,1,1,2.297,78.0,1
APP_1095,Male,37,OBC,279800.0,education,204000.0,184000.0,5.0,Higher Secondary (12th),1,3,1,1,1,0.115,55.3,0
APP_1096,Male,20,SC,87600.0,term_loan,1222000.0,1100000.0,10.0,Graduate,1,1,0,1,1,2.913,24.6,0
APP_1097,Female,31,ST,124200.0,sanitation,443000.0,399000.0,10.0,Higher Secondary (12th),0,0,1,1,1,0.563,42.4,0
APP_1098,Female,18,Safai Karamchari / Dependent,336700.0,green_energy,866000.0,779000.0,10.0,Secondary (10th),1,0,1,1,1,0.406,99.0,1
APP_1099,Male,18,ST,241100.0,sanitation,195000.0,191000.0,2.0,Primary (1-8),0,3,1,1,1,0.139,28.5,0
APP_1100,Female,30,SC,222800.0,sanitation,1025000.0,922000.0,10.0,Secondary (10th),1,1,0,1,1,0.725,35.7,0
APP_1101,Male,34,Safai Karamchari / Dependent,88800.0,term_loan,2065000.0,1858000.0,20.0,Primary (1-8),1,6,1,1,1,4.854,86.7,1
APP_1102,Female,25,ST,64500.0,education,2309000.0,2078000.0,5.0,Secondary (10th),0,0,1,1,1,5.648,5.3,0
APP_1103,Male,32,SC,484000.0,micro_finance,102800.0,92500.0,5.0,No Formal Education,0,3,1,1,1,0.07,45.3,0
APP_1104,Male,35,Safai Karamchari / Dependent,247000.0,green_energy,253000.0,215000.0,15.0,Primary (1-8),0,1,0,1,1,0.153,71.3,1
APP_1105,Female,28,SC,204600.0,term_loan,3077000.0,2769000.0,5.0,Primary (1-8),0,2,1,1,1,3.14,78.6,1
APP_1106,Male,32,ST,296800.0,green_energy,586000.0,498000.0,15.0,Secondary (10th),0,11,1,1,1,0.294,42.9,0
APP_1107,Female,29,SC,168500.0,sanitation,208000.0,198000.0,5.0,No Formal Education,0,1,1,1,1,0.206,99.0,1
APP_1108,Male,28,OBC,69800.0,green_energy,1377000.0,1170000.0,15.0,Higher Secondary (12th),1,0,1,1,1,2.938,6.2,0
APP_1109,Male,42,Safai Karamchari / Dependent,333700.0,micro_finance,97500.0,87800.0,0.0,Primary (1-8),0,7,1,1,1,0.096,55.3,0
APP_1110,Male,41,SC,222900.0,education,207000.0,186000.0,10.0,Higher Secondary (12th),1,1,1,1,1,0.146,99.0,1
APP_1111,Male,38,SC,93900.0,sanitation,765000.0,688000.0,10.0,Higher Secondary (12th),1,5,1,1,1,1.284,63.4,1
APP_1112,Male,33,SC,228700.0,green_energy,1429000.0,1215000.0,15.0,Graduate,1,1,1,1,1,0.931,62.6,1
APP_1113,Female,27,SC,494500.0,education,628000.0,565000.0,0.0,Primary (1-8),1,9,1,1,1,0.2,60.8,0
APP_1114,Female,32,SC,91500.0,sanitation,816000.0,800000.0,2.0,Primary (1-8),0,4,1,1,1,1.533,68.5,1
APP_1115,Female,30,SC,166600.0,micro_finance,54200.0,48800.0,10.0,Primary (1-8),1,8,0,1,1,0.107,81.3,1
APP_1116,Female,45,OBC,484700.0,term_loan,1235000.0,1112000.0,20.0,Secondary (10th),0,1,1,1,1,0.532,33.1,0
APP_1117,Female,31,SC,284200.0,education,1802000.0,1622000.0,10.0,Graduate,1,0,1,1,1,1.0,74.3,1
APP_1118,Male,36,SC,626700.0,term_loan,3556000.0,3200000.0,5.0,Secondary (10th),1,10,1,1,1,1.185,11.3,0
APP_1119,Female,51,OBC,216000.0,term_loan,3197000.0,2877000.0,10.0,No Formal Education,0,2,1,0,1,3.09,13.3,0
APP_1120,Female,24,SC,121400.0,green_energy,1277000.0,1085000.0,15.0,Graduate,1,3,1,1,1,1.567,68.9,1
APP_1121,Female,40,SC,169700.0,micro_finance,33300.0,30000.0,10.0,Secondary (10th),1,5,1,1,1,0.065,99.0,1
APP_1122,Female,33,SC,105000.0,green_energy,1052000.0,894000.0,15.0,Post Graduate / Professional,1,0,1,1,0,1.493,10.5,0
APP_1123,Female,18,ST,152900.0,sanitation,809000.0,728000.0,10.0,No Formal Education,0,7,1,1,1,0.835,16.9,0
APP_1124,Male,26,SC,191000.0,sanitation,1646000.0,1613000.0,2.0,Graduate,1,0,0,1,1,1.48,20.4,0
APP_1125,Female,39,Safai Karamchari / Dependent,130400.0,term_loan,319000.0,287000.0,10.0,Graduate,1,0,1,1,1,0.511,99.0,1
APP_1126,Female,36,Safai Karamchari / Dependent,145700.0,green_energy,1204000.0,1023000.0,15.0,Secondary (10th),1,0,1,1,1,1.231,75.5,1
APP_1127,Female,39,SC,148200.0,green_energy,1226000.0,1103000.0,10.0,Graduate,1,0,1,1,1,1.305,74.4,1
APP_1128,Female,20,SC,131000.0,sanitation,947000.0,852000.0,10.0,Secondary (10th),0,5,1,1,1,1.14,61.0,1
APP_1129,Male,28,SC,250000.0,education,219000.0,197000.0,10.0,Higher Secondary (12th),1,0,1,1,0,0.138,53.8,1
APP_1130,Male,36,SC,90300.0,term_loan,1059000.0,953000.0,15.0,Secondary (10th),0,1,1,1,1,2.448,62.4,1
APP_1131,Female,31,Safai Karamchari / Dependent,187100.0,education,1043000.0,939000.0,10.0,Primary (1-8),0,2,1,1,1,0.88,76.0,1
APP_1132,Female,36,Safai Karamchari / Dependent,111500.0,sanitation,1263000.0,1137000.0,10.0,Graduate,1,4,1,1,1,1.788,78.9,1
APP_1133,Other,38,Safai Karamchari / Dependent,694600.0,green_energy,1052000.0,894000.0,15.0,No Formal Education,0,1,0,1,1,0.226,13.4,0
APP_1134,Male,40,SC,108200.0,term_loan,685000.0,616000.0,20.0,No Formal Education,0,0,1,1,1,1.321,53.0,1
APP_1135,Male,34,SC,232100.0,sanitation,1009000.0,959000.0,5.0,Higher Secondary (12th),0,17,1,1,1,0.724,64.9,1
APP_1136,Female,34,ST,213600.0,sanitation,446000.0,437000.0,2.0,Secondary (10th),0,12,1,1,1,0.359,39.1,0
APP_1137,Female,54,OBC,287400.0,term_loan,2148000.0,1933000.0,15.0,Graduate,1,4,1,1,1,1.56,17.0,0
APP_1138,Male,53,SC,202000.0,education,1485000.0,1336000.0,0.0,Higher Secondary (12th),0,3,1,1,1,1.159,51.2,1
APP_1139,Female,33,OBC,123500.0,micro_finance,45300.0,40800.0,10.0,Higher Secondary (12th),1,3,0,1,1,0.121,24.9,0
APP_1140,Male,26,Safai Karamchari / Dependent,131400.0,education,257000.0,231000.0,0.0,Primary (1-8),0,2,1,1,1,0.308,99.0,1
APP_1141,Male,43,ST,352300.0,education,977000.0,879000.0,10.0,Primary (1-8),1,0,1,1,1,0.437,5.0,0
APP_1142,Female,37,SC,119600.0,micro_finance,123800.0,117600.0,2.0,Graduate,1,1,1,1,1,0.359,99.0,1
APP_1143,Female,39,ST,81600.0,sanitation,847000.0,805000.0,5.0,Post Graduate / Professional,1,0,1,1,1,1.729,14.9,0
APP_1144,Female,22,SC,92100.0,green_energy,507000.0,456000.0,10.0,Higher Secondary (12th),1,9,1,1,1,0.868,84.2,1
APP_1145,Female,33,SC,192000.0,sanitation,1668000.0,1501000.0,10.0,Higher Secondary (12th),1,5,0,1,1,1.37,38.6,0
APP_1146,Male,18,SC,204600.0,education,1051000.0,946000.0,0.0,No Formal Education,1,12,1,1,1,0.811,68.8,1
APP_1147,Male,36,SC,427400.0,sanitation,847000.0,762000.0,10.0,Higher Secondary (12th),1,2,1,1,1,0.313,53.4,0
APP_1148,Female,19,Safai Karamchari / Dependent,221700.0,sanitation,1962000.0,1766000.0,10.0,Secondary (10th),0,0,1,1,1,1.396,68.0,1
APP_1149,Male,36,Safai Karamchari / Dependent,198600.0,education,1826000.0,1643000.0,10.0,Secondary (10th),0,20,1,1,1,1.45,69.5,1
APP_1150,Female,34,OBC,64500.0,term_loan,1358000.0,1222000.0,10.0,Secondary (10th),1,5,1,1,1,4.395,15.2,0
APP_1151,Male,31,SC,299500.0,micro_finance,77400.0,69700.0,10.0,Secondary (10th),1,0,0,1,1,0.085,59.0,1
APP_1152,Male,35,SC,193900.0,education,624000.0,562000.0,5.0,Higher Secondary (12th),0,0,1,1,1,0.508,87.6,1
APP_1153,Male,43,Safai Karamchari / Dependent,89200.0,sanitation,1386000.0,1317000.0,5.0,Graduate,1,1,1,1,1,2.588,77.7,1
APP_1154,Female,36,Safai Karamchari / Dependent,166200.0,micro_finance,50800.0,45700.0,10.0,Primary (1-8),0,2,1,1,1,0.1,99.0,1
APP_1155,Male,35,SC,220800.0,micro_finance,83700.0,75300.0,2.0,No Formal Education,0,6,1,1,1,0.124,99.0,1
APP_1156,Male,52,OBC,216700.0,micro_finance,125700.0,113100.0,10.0,Secondary (10th),1,7,0,1,1,0.191,20.8,0
APP_1157,Male,24,SC,264100.0,micro_finance,24500.0,22000.0,2.0,Secondary (10th),0,0,0,1,1,0.03,53.7,1
APP_1158,Female,39,Safai Karamchari / Dependent,415800.0,green_energy,201000.0,181000.0,10.0,Secondary (10th),1,4,0,1,0,0.076,39.8,0
APP_1159,Male,30,ST,181000.0,sanitation,618000.0,606000.0,2.0,Secondary (10th),0,0,1,1,1,0.587,18.3,0
APP_1160,Male,43,SC,102100.0,education,2152000.0,1937000.0,5.0,Graduate,1,1,1,1,1,3.326,53.2,1
APP_1161,Female,41,OBC,152100.0,term_loan,1870000.0,1683000.0,15.0,Post Graduate / Professional,1,1,1,1,1,2.567,9.3,0
APP_1162,Female,47,SC,157300.0,term_loan,2085000.0,1876000.0,15.0,Higher Secondary (12th),0,1,0,1,1,2.767,28.4,0
APP_1163,Female,42,SC,449500.0,term_loan,2852000.0,2567000.0,20.0,Higher Secondary (12th),0,10,1,1,1,1.325,69.7,1
APP_1164,Male,18,SC,228900.0,sanitation,248000.0,223000.0,10.0,Primary (1-8),0,2,0,1,1,0.171,64.7,1
APP_1165,Female,33,SC,109300.0,term_loan,2395000.0,2156000.0,5.0,Graduate,1,1,1,1,1,4.576,72.0,1
APP_1166,Female,22,SC,233600.0,sanitation,852000.0,835000.0,2.0,Higher Secondary (12th),0,0,1,1,1,0.627,61.3,1
APP_1167,Male,24,SC,312700.0,micro_finance,69100.0,62200.0,2.0,Higher Secondary (12th),0,1,1,1,0,0.073,37.4,0
APP_1168,Female,33,ST,79300.0,green_energy,1452000.0,1234000.0,15.0,Primary (1-8),0,3,1,0,1,2.728,12.8,0
APP_1169,Male,29,SC,65500.0,term_loan,1299000.0,1169000.0,20.0,Secondary (10th),0,0,1,1,1,4.14,52.6,1
APP_1170,Female,29,SC,284700.0,micro_finance,126700.0,120400.0,2.0,Primary (1-8),1,0,1,1,1,0.154,99.0,1
APP_1171,Female,21,SC,189500.0,micro_finance,110500.0,105000.0,0.0,Primary (1-8),0,1,1,1,1,0.202,97.0,1
APP_1172,Male,51,SC,132400.0,sanitation,372000.0,335000.0,10.0,Secondary (10th),0,0,1,1,1,0.444,85.2,1
APP_1173,Male,38,SC,293300.0,term_loan,3775000.0,3398000.0,20.0,Higher Secondary (12th),1,0,1,1,1,2.688,68.0,1
APP_1174,Female,32,Safai Karamchari / Dependent,229800.0,sanitation,1631000.0,1598000.0,2.0,Secondary (10th),0,5,1,1,1,1.219,69.9,1
APP_1175,Female,27,SC,149100.0,term_loan,2212000.0,1991000.0,10.0,No Formal Education,1,0,1,1,1,3.098,72.9,1
APP_1176,Male,31,SC,268700.0,sanitation,733000.0,718000.0,2.0,Primary (1-8),1,3,1,1,1,0.468,80.5,1
APP_1177,Male,28,Safai Karamchari / Dependent,117400.0,term_loan,1388000.0,1249000.0,15.0,Secondary (10th),0,4,1,1,1,2.468,57.0,1
APP_1178,Female,39,Safai Karamchari / Dependent,242800.0,green_energy,582000.0,553000.0,5.0,Secondary (10th),0,2,1,1,1,0.399,99.0,1
APP_1179,Male,25,SC,130800.0,education,555000.0,500000.0,0.0,Secondary (10th),0,2,1,1,1,0.67,55.4,1
APP_1180,Male,19,SC,237500.0,education,1195000.0,1076000.0,10.0,Higher Secondary (12th),1,1,1,1,1,0.794,63.0,1
APP_1181,Other,32,OBC,261400.0,sanitation,241000.0,217000.0,10.0,No Formal Education,1,1,1,1,1,0.146,41.8,0
APP_1182,Female,28,SC,208300.0,term_loan,2717000.0,2445000.0,20.0,Higher Secondary (12th),1,0,1,1,1,2.723,64.6,1
APP_1183,Male,35,SC,227500.0,education,1122000.0,1010000.0,0.0,Primary (1-8),1,3,1,1,1,0.778,66.6,1
APP_1184,Female,33,SC,157400.0,education,1447000.0,1302000.0,10.0,Primary (1-8),0,0,1,1,1,1.45,70.4,1
APP_1185,Female,55,SC,73500.0,micro_finance,21100.0,20000.0,2.0,No Formal Education,0,4,1,1,0,0.099,53.1,1
APP_1186,Male,24,ST,276300.0,micro_finance,103100.0,92800.0,10.0,Primary (1-8),0,1,1,1,1,0.123,34.0,0
APP_1187,Female,46,ST,109700.0,micro_finance,37300.0,33600.0,10.0,Graduate,1,2,1,1,1,0.112,48.5,0
APP_1188,Female,21,Safai Karamchari / Dependent,297200.0,sanitation,1476000.0,1328000.0,10.0,Higher Secondary (12th),1,0,1,1,1,0.783,80.8,1
APP_1189,Male,29,OBC,245700.0,sanitation,156000.0,148000.0,5.0,Higher Secondary (12th),0,0,1,1,1,0.106,31.9,0
APP_1190,Male,28,SC,208500.0,term_loan,3223000.0,2901000.0,5.0,No Formal Education,1,0,1,1,1,3.228,57.7,1
APP_1191,Female,18,SC,477900.0,education,1922000.0,1730000.0,0.0,Primary (1-8),1,14,1,1,1,0.635,18.4,0
APP_1192,Female,31,SC,248300.0,micro_finance,123600.0,117400.0,0.0,Primary (1-8),1,12,1,1,1,0.173,99.0,1
APP_1193,Male,36,SC,93300.0,term_loan,1309000.0,1178000.0,20.0,Primary (1-8),1,1,1,1,1,2.929,63.4,1
APP_1194,Female,38,SC,202500.0,education,553000.0,498000.0,0.0,Primary (1-8),1,9,1,1,1,0.431,95.1,1
APP_1195,Female,52,SC,216200.0,education,1518000.0,1366000.0,5.0,Secondary (10th),0,1,1,1,0,1.108,16.1,0
APP_1196,Female,28,SC,198200.0,education,667000.0,600000.0,5.0,Primary (1-8),0,1,1,1,1,0.531,95.9,1
APP_1197,Female,36,Safai Karamchari / Dependent,234500.0,sanitation,1892000.0,1854000.0,2.0,Secondary (10th),1,0,1,1,1,1.386,59.3,1
APP_1198,Male,36,SC,120600.0,green_energy,358000.0,322000.0,10.0,Higher Secondary (12th),1,1,0,1,1,0.468,52.5,1
APP_1199,Male,23,ST,68800.0,sanitation,1940000.0,1746000.0,10.0,Graduate,1,2,1,1,1,4.449,8.3,0
